email,label,local_entropy,domain_entropy,digit_ratio,special_chars,local_length,domain_length,is_trusted_domain,is_suspicious_tld,has_dot,has_underscore,shortest_part,longest_part
solveig.lopez@example.pl,normal,3.2389,2.5216,0.0,0,13,7,1,0,1,0,5,7
C15Ii6HKCU2A@xlmt2pnjk.biz,spam,3.4183,3.1699,0.3333,0,12,9,0,1,0,0,12,12
patriciadavis@example.es,normal,2.9689,2.5216,0.0,0,13,7,1,0,0,0,13,13
olgasokolov@example.de,normal,2.5503,2.5216,0.0,0,11,7,1,0,0,0,11,11
pooja_celik@example.co.za,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
erikgreco@example.fr,normal,2.7255,2.5216,0.0,0,9,7,1,0,0,0,9,9
dmitri.mensah@example.co.jp,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,6,6
hassankuznetsov@example.co.jp,normal,3.3232,2.5216,0.0,0,15,7,1,0,0,0,15,15
william.johansson@example.org,normal,3.3816,2.5216,0.0,0,17,7,1,0,1,0,7,9
ali_lewandowski@example.it,normal,3.3736,2.5216,0.0,0,15,7,1,0,0,1,15,15
eduardotoure@example.es,normal,2.7516,2.5216,0.0,0,12,7,1,0,0,0,12,12
olga.mueller@example.es,normal,3.0221,2.5216,0.0,0,12,7,1,0,1,0,4,7
wojciech_flores@example.org,normal,3.5069,2.5216,0.0,0,15,7,1,0,0,1,15,15
omarkumar1992@example.pl,normal,3.0851,2.5216,0.3077,0,13,7,1,0,0,0,13,13
pavel.andersen@example.org,normal,3.182,2.5216,0.0,0,14,7,1,0,1,0,5,8
aisha_kaya@example.co.za,normal,2.5219,2.5216,0.0,0,10,7,1,0,0,1,10,10
watidiaz@example.co.uk,normal,2.5,2.5216,0.0,0,8,7,1,0,0,0,8,8
v341onx@wh0mx1ego.win,spam,2.8074,3.1699,0.4286,0,7,9,0,1,0,0,7,7
pedro.wang@example.de,normal,3.3219,2.5216,0.0,0,10,7,1,0,1,0,4,5
fatou_otieno@example.com.br,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,1,12,12
minh_kowalski@example.es,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
bruno_ozturk@example.ru,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
giuseppe_thomas@example.pl,normal,3.5069,2.5216,0.0,0,15,7,1,0,0,1,15,15
bruno_salem@example.it,normal,3.4594,2.5216,0.0,0,11,7,1,0,0,1,11,11
melissacastillo@example.com,normal,3.0062,2.5216,0.0,0,15,7,1,0,0,0,15,15
gabriela.silva@example.org,normal,3.182,2.5216,0.0,0,14,7,1,0,1,0,5,8
daniela.robert@example.com.au,normal,3.3788,2.5216,0.0,0,14,7,1,0,1,0,6,7
adaeze.miller@example.fr,normal,3.027,2.5216,0.0,0,13,7,1,0,1,0,6,6
emeka_ferreira@example.com.br,normal,2.7534,2.5216,0.0,0,14,7,1,0,0,1,14,14
valentina.colombo@example.es,normal,3.4548,2.5216,0.0,0,17,7,1,0,1,0,7,9
anna_verma@example.org,normal,2.6464,2.5216,0.0,0,10,7,1,0,0,1,10,10
agnieszka_marino@example.co.jp,normal,3.4528,2.5216,0.0,0,16,7,1,0,0,1,16,16
rehemamarino@example.pl,normal,2.9183,2.5216,0.0,0,12,7,1,0,0,0,12,12
baptiste.ndungu@example.es,normal,3.5069,2.5216,0.0,0,15,7,1,0,1,0,6,8
marcopatel1978@example.de,normal,3.6645,2.5216,0.2857,0,14,7,1,0,0,0,14,14
david.sanchez@example.co.uk,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,5,7
njoroge_kusuma@example.co.jp,normal,3.5216,2.5216,0.0,0,14,7,1,0,0,1,14,14
deepa.suzuki@test.com,normal,3.2516,1.5,0.0,0,12,4,1,0,1,0,5,6
nicolas_zhang@example.pl,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
elenatoure@example.co.uk,normal,2.8464,2.5216,0.0,0,10,7,1,0,0,0,10,10
fatoumensah@example.co.jp,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,0,11,11
xgnrfio878iyhhg8p@rlqiob0n.loan,spam,3.4548,3.0,0.2353,0,17,8,0,1,0,0,17,17
kofi_smith@example.de,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,1,10,10
0O1b1Oox8gt1GlF@uzb7kr0.biz,spam,3.4566,2.8074,0.3333,0,15,7,0,1,0,0,15,15
kavitanilsson@example.pl,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,0,13,13
robert.salem@example.org,normal,3.2516,2.5216,0.0,0,12,7,1,0,1,0,5,6
sophie_schneider@example.com.br,normal,3.3278,2.5216,0.0,0,16,7,1,0,0,1,16,16
lzfy981udp2fm@ubods1e.click,spam,3.5466,2.8074,0.3077,0,13,7,0,1,0,0,13,13
thanh_kusuma2003@example.it,normal,3.5,2.5216,0.25,0,16,7,1,0,0,1,16,16
amina.nilsson2000@example.pl,normal,3.1751,2.5216,0.2353,0,17,7,1,0,1,0,5,11
carmen.chen@example.co.za,normal,2.914,2.5216,0.0,0,11,7,1,0,1,0,4,6
jennifer_verma@example.ru,normal,3.182,2.5216,0.0,0,14,7,1,0,0,1,14,14
alejandro_silva@example.it,normal,3.4566,2.5216,0.0,0,15,7,1,0,0,1,15,15
hyun.joshi@example.net,normal,3.1219,2.5216,0.0,0,10,7,1,0,1,0,4,5
pooja.verma@example.org,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,5,5
melissa.celik@example.co.za,normal,3.0851,2.5216,0.0,0,13,7,1,0,1,0,5,7
elena_janssen@example.co.jp,normal,2.6612,2.5216,0.0,0,13,7,1,0,0,1,13,13
tunde.becker@example.co.jp,normal,3.1887,2.5216,0.0,0,12,7,1,0,1,0,5,6
fatmabernard@example.co.jp,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,0,12,12
vMo8FYM23YbIrj3@e0sy5ypup.win,spam,3.5069,2.7255,0.2667,0,15,9,0,1,0,0,15,15
johnwang@example.com.au,normal,2.75,2.5216,0.0,0,8,7,1,0,0,0,8,8
isabeltraore2001@example.com.br,normal,3.5,2.5216,0.25,0,16,7,1,0,0,0,16,16
lies_sokolov@test.com,normal,2.8554,1.5,0.0,0,12,4,1,0,0,1,12,12
eduardo_hansen@example.ru,normal,3.2359,2.5216,0.0,0,14,7,1,0,0,1,14,14
minjun.greco@test.com,normal,3.4183,1.5,0.0,0,12,4,1,0,1,0,5,6
QDA2kiT80g4@2ygnmby.click,spam,3.4594,2.5216,0.3636,0,11,7,0,1,0,0,11,11
1tb@nl65ujg.online,spam,1.585,2.8074,0.3333,0,3,7,0,1,0,0,3,3
3km2kql0ht1tw9zyn6@bgk2wbxa.work,spam,3.9477,2.75,0.3333,0,18,8,0,1,0,0,18,18
willem_mendoza@example.pl,normal,3.3788,2.5216,0.0,0,14,7,1,0,0,1,14,14
rahul_de_jong@example.co.uk,normal,3.5466,2.5216,0.0,0,13,7,1,0,0,1,13,13
joaocosta@example.com.au,normal,2.4194,2.5216,0.0,0,9,7,1,0,0,0,9,9
diego_moreau@example.pl,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
valentina.kamau@example.co.za,normal,3.2402,2.5216,0.0,0,15,7,1,0,1,0,5,9
baptiste.morales2002@example.it,normal,3.7219,2.5216,0.2,0,20,7,1,0,1,0,8,11
william_reyes@example.pl,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,1,13,13
adaezesantoso@example.com.au,normal,2.8731,2.5216,0.0,0,13,7,1,0,0,0,13,13
lucia_chavez@example.net,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
bruno.lindqvist@example.co.jp,normal,3.6402,2.5216,0.0,0,15,7,1,0,1,0,5,9
diego_bernard@example.pl,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,1,13,13
sakuraliu@example.co.za,normal,2.7255,2.5216,0.0,0,9,7,1,0,0,0,9,9
amina_braun@example.com.au,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,1,11,11
carlos_novikov@test.com,normal,3.3249,1.5,0.0,0,14,4,1,0,0,1,14,14
floor_mansour@example.ru,normal,3.1808,2.5216,0.0,0,13,7,1,0,0,1,13,13
sitijoshi@example.com.au,normal,2.4194,2.5216,0.0,0,9,7,1,0,0,0,9,9
monika_sousa@example.net,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
ivan.ricci@example.co.jp,normal,2.6464,2.5216,0.0,0,10,7,1,0,1,0,4,5
ahmad_taylor@example.de,normal,3.1887,2.5216,0.0,0,12,7,1,0,0,1,12,12
bdca4bc6c2499@zrlf8a.xyz,spam,2.8731,2.585,0.4615,0,13,6,0,1,0,0,13,13
nourkim@example.co.jp,normal,2.8074,2.5216,0.0,0,7,7,1,0,0,0,7,7
tundejones@example.pl,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,0,10,10
ali_gonzalez2000@example.pl,normal,3.3278,2.5216,0.25,0,16,7,1,0,0,1,16,16
d5MPEJwWtnleFz@om5xlk8w.info,spam,3.8074,3.0,0.0714,0,14,8,0,1,0,0,14,14
elenanasser1999@example.co.uk,normal,2.8729,2.5216,0.2667,0,15,7,1,0,0,0,15,15
diegosilva@example.com.au,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,0,10,10
Kbs9M9BjcY@yf0d0.top,spam,3.1219,1.9219,0.2,0,10,5,0,1,0,0,10,10
njoroge_morozov@example.co.za,normal,2.9996,2.5216,0.0,0,15,7,1,0,0,1,15,15
sitibruno@example.com,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
sunita_silva@example.fr,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
5ivrocvitwu3bfxb@buvldd9fkx.site,spam,3.625,3.1219,0.125,0,16,10,0,1,0,0,16,16
hyun.smit@example.de,normal,3.1699,2.5216,0.0,0,9,7,1,0,1,0,4,4
erik.eriksson@example.es,normal,2.9312,2.5216,0.0,0,13,7,1,0,1,0,4,8
vikram_berg@example.com.br,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
mariana_karim@example.es,normal,2.6235,2.5216,0.0,0,13,7,1,0,0,1,13,13
emine_omar@test.com,normal,2.9219,1.5,0.0,0,10,4,1,0,0,1,10,10
adaeze.miller@example.net,normal,3.027,2.5216,0.0,0,13,7,1,0,1,0,6,6
william.richard@example.net,normal,3.1899,2.5216,0.0,0,15,7,1,0,1,0,7,7
ibrahimpetit@example.org,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,0,12,12
minhrahman1979@example.co.jp,normal,3.0931,2.5216,0.2857,0,14,7,1,0,0,0,14,14
miguel.khalil2005@test.com,normal,3.5725,1.5,0.2353,0,17,4,1,0,1,0,6,10
roberto.mutua@example.org,normal,3.0851,2.5216,0.0,0,13,7,1,0,1,0,5,7
minh.nasser@example.com,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,4,6
valentina.van_den_berg@example.co.za,normal,3.4817,2.5216,0.0,0,22,7,1,0,1,1,9,12
pierre.schulz@example.com,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,6,6
jingdemir@example.co.za,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
giulia.mwangi@example.fr,normal,3.027,2.5216,0.0,0,13,7,1,0,1,0,6,6
tunde.li@test.com,normal,3.0,1.5,0.0,0,8,4,1,0,1,0,2,5
camille.castillo@example.org,normal,3.125,2.5216,0.0,0,16,7,1,0,1,0,7,8
maryam.ozturk@test.com,normal,3.2389,1.5,0.0,0,13,4,1,0,1,0,6,6
hiroshi.meijer@example.com.au,normal,3.0391,2.5216,0.0,0,14,7,1,0,1,0,6,7
william_torres@example.com.br,normal,3.3788,2.5216,0.0,0,14,7,1,0,0,1,14,14
rehema_jimenez@example.pl,normal,3.0931,2.5216,0.0,0,14,7,1,0,0,1,14,14
roberthassan@example.co.za,normal,3.085,2.5216,0.0,0,12,7,1,0,0,0,12,12
valerialopez@example.com.br,normal,3.085,2.5216,0.0,0,12,7,1,0,0,0,12,12
kavita_asante@test.com,normal,2.9312,1.5,0.0,0,13,4,1,0,0,1,13,13
aurelie_smith@example.co.za,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
michaelgonzalez2001@example.fr,normal,3.7216,2.5216,0.2105,0,19,7,1,0,0,0,19,19
sergei.romero@example.fr,normal,2.8151,2.5216,0.0,0,13,7,1,0,1,0,6,6
mohammed_braun1986@example.fr,normal,3.7947,2.5216,0.2222,0,18,7,1,0,0,1,18,18
carmen_demir@example.co.za,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
mustafa_morozov@example.pl,normal,3.3232,2.5216,0.0,0,15,7,1,0,0,1,15,15
amitliu1975@example.co.jp,normal,3.2776,2.5216,0.3636,0,11,7,1,0,0,0,11,11
amit_ivanov@example.co.jp,normal,2.914,2.5216,0.0,0,11,7,1,0,0,1,11,11
ca7732c0082@s6ff7so8w.win,spam,2.7322,2.7255,0.7273,0,11,9,0,1,0,0,11,11
giuliasimon@example.de,normal,3.0272,2.5216,0.0,0,11,7,1,0,0,0,11,11
anastasia.durand@example.com.br,normal,2.8994,2.5216,0.0,0,16,7,1,0,1,0,6,9
thanh_nasser@example.de,normal,2.9183,2.5216,0.0,0,12,7,1,0,0,1,12,12
ricardode_vries@example.ru,normal,3.1899,2.5216,0.0,0,15,7,1,0,0,1,15,15
qHkOwOZGx4Gv1EDL@5piskffv.xyz,spam,3.75,2.75,0.125,0,16,8,0,1,0,0,16,16
arjunmartinez@example.co.za,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
fernanda.yang@example.de,normal,2.9689,2.5216,0.0,0,13,7,1,0,1,0,4,8
giulia.odhiambo@example.es,normal,3.3232,2.5216,0.0,0,15,7,1,0,1,0,6,8
astrid.gupta1988@example.ru,normal,3.625,2.5216,0.25,0,16,7,1,0,1,0,6,9
ali.kamau@example.org,normal,2.6416,2.5216,0.0,0,9,7,1,0,1,0,3,5
aisha_wijaya@example.org,normal,2.7516,2.5216,0.0,0,12,7,1,0,0,1,12,12
haticebakker1976@example.it,normal,3.625,2.5216,0.25,0,16,7,1,0,0,0,16,16
fernanda_popov@test.com,normal,3.2359,1.5,0.0,0,14,4,1,0,0,1,14,14
abenasharma@example.net,normal,2.7322,2.5216,0.0,0,11,7,1,0,0,0,11,11
thanh_moreau@example.co.jp,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
jorgejesus@example.co.jp,normal,2.7219,2.5216,0.0,0,10,7,1,0,0,0,10,10
amit.jimenez1970@example.co.jp,normal,3.625,2.5216,0.25,0,16,7,1,0,1,0,4,11
valeria.kaminski1988@test.com,normal,3.6464,1.5,0.2,0,20,4,1,0,1,0,7,12
john_greco@example.org,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,1,10,10
alitorres2001@example.es,normal,3.3927,2.5216,0.3077,0,13,7,1,0,0,0,13,13
minjun.sokolov1982@example.fr,normal,3.7947,2.5216,0.2222,0,18,7,1,0,1,0,6,11
elena.vargas@example.co.jp,normal,3.0221,2.5216,0.0,0,12,7,1,0,1,0,5,6
solveig.becker1985@example.com.br,normal,3.9058,2.5216,0.2222,0,18,7,1,0,1,0,7,10
michaelmulder@example.com.au,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
mustafa.mensah1983@test.com,normal,3.6835,1.5,0.2222,0,18,4,1,0,1,0,7,10
françoiscolombo@example.de,normal,3.3736,2.5216,0.0,0,15,7,1,0,0,0,15,15
vikram.hernandez@example.fr,normal,3.5,2.5216,0.0,0,16,7,1,0,1,0,6,9
giulia.otieno@example.ru,normal,3.1808,2.5216,0.0,0,13,7,1,0,1,0,6,6
jiwonturk@example.co.jp,normal,3.1699,2.5216,0.0,0,9,7,1,0,0,0,9,9
thet25lzse99f77@ctzg4f.biz,spam,3.3736,2.585,0.4,0,15,6,0,1,0,0,15,15
ekaterina_ferreira@example.es,normal,2.9058,2.5216,0.0,0,18,7,1,0,0,1,18,18
katarzyna.eriksson@example.de,normal,3.4613,2.5216,0.0,0,18,7,1,0,1,0,8,9
thanhwilliams@example.fr,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,0,13,13
marie.sharma2000@example.co.uk,normal,3.1556,2.5216,0.25,0,16,7,1,0,1,0,5,10
ahmet_hoffmann@example.co.za,normal,3.0931,2.5216,0.0,0,14,7,1,0,0,1,14,14
maria.johansson1979@example.com,normal,3.5766,2.5216,0.2105,0,19,7,1,0,1,0,5,13
monikawijaya@example.it,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,0,12,12
njorogehussein@example.org,normal,3.2359,2.5216,0.0,0,14,7,1,0,0,0,14,14
kofi.hansen@example.pl,normal,3.2776,2.5216,0.0,0,11,7,1,0,1,0,4,6
fatima.de_vries@example.pl,normal,3.5069,2.5216,0.0,0,15,7,1,0,1,1,6,8
sunita_oliveira@example.org,normal,3.4566,2.5216,0.0,0,15,7,1,0,0,1,15,15
bruno.nasser@example.com.au,normal,3.085,2.5216,0.0,0,12,7,1,0,1,0,5,6
iris.gallo1990@example.it,normal,3.3788,2.5216,0.2857,0,14,7,1,0,1,0,4,9
nJdXDHFyQk8@slayndn5g.win,spam,3.4594,2.9477,0.0909,0,11,9,0,1,0,0,11,11
fatuma_putri@example.co.jp,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
yuki_putri@example.fr,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
ivan.smit@example.de,normal,2.9477,2.5216,0.0,0,9,7,1,0,1,0,4,4
fernandacoulibaly@example.co.jp,normal,3.5725,2.5216,0.0,0,17,7,1,0,0,0,17,17
arjun.li@example.de,normal,3.0,2.5216,0.0,0,8,7,1,0,1,0,2,5
astrid.demir@example.com.br,normal,3.085,2.5216,0.0,0,12,7,1,0,1,0,5,6
william.patel1994@test.com,normal,3.4548,1.5,0.2353,0,17,4,1,0,1,0,7,9
antonioobi@example.co.za,normal,2.4464,2.5216,0.0,0,10,7,1,0,0,0,10,10
minjun_wagner@example.com,normal,3.3347,2.5216,0.0,0,13,7,1,0,0,1,13,13
anne.johnson1975@example.org,normal,3.375,2.5216,0.25,0,16,7,1,0,1,0,4,11
wei.hussein@test.com,normal,2.914,1.5,0.0,0,11,4,1,0,1,0,3,7
james_hoffmann@example.com.au,normal,3.2359,2.5216,0.0,0,14,7,1,0,0,1,14,14
zawadi_liu@example.co.za,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
gWsfVByODHiyX@kwk585x8.biz,spam,3.5466,2.25,0.0,0,13,8,0,1,0,0,13,13
françois_marino@example.es,normal,3.2402,2.5216,0.0,0,15,7,1,0,0,1,15,15
jean.fischer1993@example.it,normal,3.75,2.5216,0.25,0,16,7,1,0,1,0,4,11
luciayildiz@example.com,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,0,11,11
qp3n@gvu4i.online,spam,2.0,2.3219,0.25,0,4,5,0,1,0,0,4,4
nourfouad@example.net,normal,2.7255,2.5216,0.0,0,9,7,1,0,0,0,9,9
jorge.pham@example.net,normal,3.3219,2.5216,0.0,0,10,7,1,0,1,0,4,5
njorogewozniak@example.com.au,normal,3.3249,2.5216,0.0,0,14,7,1,0,0,0,14,14
minh_robert@example.net,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
rec2jwjj0v60xn@jzr25.loan,spam,3.3249,2.3219,0.2857,0,14,5,0,1,0,0,14,14
svetlana.zielinski@example.it,normal,3.3502,2.5216,0.0,0,18,7,1,0,1,0,8,9
kavita.lebedev@example.com,normal,3.182,2.5216,0.0,0,14,7,1,0,1,0,6,7
ahmet.wagner@test.com,normal,3.2516,1.5,0.0,0,12,4,1,0,1,0,5,6
wanjiru_gitau@example.co.uk,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,1,13,13
57d44b1e@ye0qzsa7.site,spam,2.75,3.0,0.625,0,8,8,0,1,0,0,8,8
q665dlx@2zeeqnsn2.online,spam,2.5216,2.5033,0.4286,0,7,9,0,1,0,0,7,7
katarzynanwosu1983@example.de,normal,3.7947,2.5216,0.2222,0,18,7,1,0,0,0,18,18
alessia_perez@example.es,normal,3.027,2.5216,0.0,0,13,7,1,0,0,1,13,13
kenjiweber@example.co.jp,normal,2.8464,2.5216,0.0,0,10,7,1,0,0,0,10,10
nikolai.robert1997@example.org,normal,3.7255,2.5216,0.2222,0,18,7,1,0,1,0,7,10
rafaelyildiz@example.co.za,normal,3.085,2.5216,0.0,0,12,7,1,0,0,0,12,12
dmitri.mendoza@example.ru,normal,3.3788,2.5216,0.0,0,14,7,1,0,1,0,6,7
adaeze_gallo1976@example.ru,normal,3.4528,2.5216,0.25,0,16,7,1,0,0,1,16,16
kwame.miller@example.de,normal,3.085,2.5216,0.0,0,12,7,1,0,1,0,5,6
weimartinez@example.co.uk,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,0,11,11
adaeze_tanaka@example.fr,normal,2.6535,2.5216,0.0,0,13,7,1,0,0,1,13,13
hyunnasser@example.it,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,0,10,10
aurelie.janssen@example.it,normal,3.1899,2.5216,0.0,0,15,7,1,0,1,0,7,7
elenaandersen@example.ru,normal,2.5654,2.5216,0.0,0,13,7,1,0,0,0,13,13
annethomas@example.pl,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,0,10,10
kipchoge.rodrigues@example.co.uk,normal,3.6144,2.5216,0.0,0,18,7,1,0,1,0,8,9
TInnSQ5iS8lHNSVI@uyp04k43.online,spam,3.4528,2.75,0.125,0,16,8,0,1,0,0,16,16
drl90a@ouadvwk.online,spam,2.585,2.8074,0.3333,0,6,7,0,1,0,0,6,6
emine.torres@example.com.au,normal,3.0221,2.5216,0.0,0,12,7,1,0,1,0,5,6
alejandra_brown@example.co.za,normal,3.3232,2.5216,0.0,0,15,7,1,0,0,1,15,15
sven.robert@example.it,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,4,6
luciakowalski@example.co.uk,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,0,13,13
ana_vargas@example.co.za,normal,2.5219,2.5216,0.0,0,10,7,1,0,0,1,10,10
pedro.ozturk@example.de,normal,3.2516,2.5216,0.0,0,12,7,1,0,1,0,5,6
vg7oq2zdo@4v1qx8ert.biz,spam,2.9477,3.1699,0.2222,0,9,9,0,1,0,0,9,9
elena.rodrigues@example.ru,normal,3.4566,2.5216,0.0,0,15,7,1,0,1,0,5,9
hassanlewandowski1986@example.co.uk,normal,3.749,2.5216,0.1905,0,21,7,1,0,0,0,21,21
erik.sharma@example.es,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,4,6
eko_ndungu@example.com,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
thanh.jesus@example.ru,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,5,5
juliagitau@example.com.au,normal,2.7219,2.5216,0.0,0,10,7,1,0,0,0,10,10
hassan.bakker@example.org,normal,3.027,2.5216,0.0,0,13,7,1,0,1,0,6,6
magnus.kariuki@test.com,normal,3.2359,1.5,0.0,0,14,4,1,0,1,0,6,7
anita_lebedev@example.co.jp,normal,3.1808,2.5216,0.0,0,13,7,1,0,0,1,13,13
minjundemir@example.ru,normal,2.914,2.5216,0.0,0,11,7,1,0,0,0,11,11
janmensah1988@example.com.br,normal,3.2389,2.5216,0.3077,0,13,7,1,0,0,0,13,13
priyakowalczyk@example.ru,normal,3.3788,2.5216,0.0,0,14,7,1,0,0,0,14,14
budi_obi1973@example.com.br,normal,3.2516,2.5216,0.3333,0,12,7,1,0,0,1,12,12
amit_zielinski@example.co.uk,normal,3.2359,2.5216,0.0,0,14,7,1,0,0,1,14,14
mikhail_mehta@example.net,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,1,13,13
mohammed.popov@example.com.au,normal,2.9852,2.5216,0.0,0,14,7,1,0,1,0,5,8
wei_larsson@example.de,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
mohammed_colombo@example.com.br,normal,3.0,2.5216,0.0,0,16,7,1,0,0,1,16,16
isabel_lindqvist@example.org,normal,3.4528,2.5216,0.0,0,16,7,1,0,0,1,16,16
omar_vargas@example.it,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,1,11,11
svetlana_popov@example.de,normal,3.2359,2.5216,0.0,0,14,7,1,0,0,1,14,14
emeka_putri@example.com,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
bjornkariuki@example.net,normal,3.085,2.5216,0.0,0,12,7,1,0,0,0,12,12
alexeirichard1989@example.net,normal,3.4992,2.5216,0.2353,0,17,7,1,0,0,0,17,17
pierreshah@example.fr,normal,2.7219,2.5216,0.0,0,10,7,1,0,0,0,10,10
lars.nasser@example.it,normal,2.6635,2.5216,0.0,0,11,7,1,0,1,0,4,6
njorogepham@example.es,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,0,11,11
isabelle_russo@example.co.uk,normal,3.182,2.5216,0.0,0,14,7,1,0,0,1,14,14
bjorn_ozturk1985@example.co.jp,normal,3.75,2.5216,0.25,0,16,7,1,0,0,1,16,16
anne_karlsson@example.de,normal,3.027,2.5216,0.0,0,13,7,1,0,0,1,13,13
kipchogericci@example.com.au,normal,2.9689,2.5216,0.0,0,13,7,1,0,0,0,13,13
jennifer.torres@example.it,normal,3.1396,2.5216,0.0,0,15,7,1,0,1,0,6,8
mariana_mendoza@example.org,normal,3.1069,2.5216,0.0,0,15,7,1,0,0,1,15,15
sophie_ferrari@example.co.za,normal,3.182,2.5216,0.0,0,14,7,1,0,0,1,14,14
deepatoure@example.com.au,normal,2.8464,2.5216,0.0,0,10,7,1,0,0,0,10,10
fatma.hansen@example.co.za,normal,3.0221,2.5216,0.0,0,12,7,1,0,1,0,5,6
elena.morozov1980@example.com.au,normal,3.6901,2.5216,0.2353,0,17,7,1,0,1,0,5,11
eduardo_sharma@example.co.za,normal,3.182,2.5216,0.0,0,14,7,1,0,0,1,14,14
tatiana.kaminski@example.co.za,normal,2.8278,2.5216,0.0,0,16,7,1,0,1,0,7,8
vikram_turk@example.com.br,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,1,11,11
hyun.nguyen@test.com,normal,2.6635,1.5,0.0,0,11,4,1,0,1,0,4,6
emma_traore1994@example.net,normal,3.2402,2.5216,0.2667,0,15,7,1,0,0,1,15,15
magnus_janssen@example.fr,normal,2.9852,2.5216,0.0,0,14,7,1,0,0,1,14,14
camille.nasser@example.co.uk,normal,3.2359,2.5216,0.0,0,14,7,1,0,1,0,6,7
valeria.rossi@example.it,normal,3.0851,2.5216,0.0,0,13,7,1,0,1,0,5,7
zainabverma@example.co.jp,normal,3.0272,2.5216,0.0,0,11,7,1,0,0,0,11,11
sititraore@example.es,normal,2.7219,2.5216,0.0,0,10,7,1,0,0,0,10,10
valentina_gupta@example.co.jp,normal,3.3232,2.5216,0.0,0,15,7,1,0,0,1,15,15
jean.conti@example.co.jp,normal,3.1219,2.5216,0.0,0,10,7,1,0,1,0,4,5
anne.reyes@example.it,normal,2.6464,2.5216,0.0,0,10,7,1,0,1,0,4,5
lucia_chen1992@test.com,normal,3.5216,1.5,0.2857,0,14,4,1,0,0,1,14,14
anastasia.kusuma@example.com.au,normal,2.8522,2.5216,0.0,0,16,7,1,0,1,0,6,9
ashleylarsson1970@example.fr,normal,3.5725,2.5216,0.2353,0,17,7,1,0,0,0,17,17
arjun.rodriguez@example.com,normal,3.4566,2.5216,0.0,0,15,7,1,0,1,0,5,9
antoniomoore@example.com.br,normal,2.7516,2.5216,0.0,0,12,7,1,0,0,0,12,12
ahmetrossi@example.co.za,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,0,10,10
